German,French
Machen Sie das selbe was sie macht?,"Alors, tu fais quoi?"
Warum riskieren wir das Leben für eine Prinzessin?,Pourquoi est- ce qu'on risque notre vie pour une princesse?
Zeichnen Sie bitte die Liste von Telefonaten ab.,Veuillez vérifier la note de téléphone.
"Wenn Euch das nicht passt, solltet lhr vielleicht besser umkehren und ihn um Entschuldigung bitten.","Si cela ne vous va pas, mieux vaudrait revenir chez lui et lui présenter vos excuses."
"Du bist ein Kotz- Beutel, weil du Barbara küsst'?","John, tu as embrassé Barbara, tu es une ordure""?"
lch passe. lm Moment trinke ich nichts.,Je ne bois pas.
Aber trotzdem... bist du nicht der Prinz auf dem weißen Pferd.,Mais tu n'es pas Exactement un prince charmant.
"Hör mal, versprichst du mir was, ja?","Promets- moi quelque chose, d'accord?"
"He, schau mir nicht unter die Dose.","Hey, arrète de regarder ma boite."
"Wenn er will, soll er stehen bleiben und sprechen!","S'il le désire, qu'il reste debout et qu'il parle!"
"Da ist ein Mann mit einem Bart, und Sie ziehen nicht mal daran!",Vous n'avez même pas tiré sur sa barbe.
"Ich will nicht wissen, woher Sie das haben!",Je ne veux pas savoir où ça vient.
"Wir sind in der Übermacht, vernichtet sie!","Ils sont si peu, écrasez- les!"
Ich wollte dem Richter einen Rolls Royce schenken!,"J'arrivais pas à y croire, je devrais offrir à ce juge une Rolls Royce!"
Der Unfall hielt dich von unserer Hochzeit ab?,C'est l'accident qui vous a empêche de venir au mariage?
"John, es tut mir so leid.",Je suis désolée.
"Moment, wenn man genau nachdenkt, wenn das Ding hier ist, könnte... sich unsere Lage verschlechtern.","Attendez, à y reflechir, si la chose est ici, ca pourrait empirer pour nous."
"Nein, du bist verletzt, viel zu langsam.",M'assurer qu'il vienne bien par ici.
Sie hätte es für jeden Sklaven getan.,La reine déteste la cruauté... qu'il s'agisse de n'importe qui.
"Aber das hier ist der richtige Ort, um es dir zu sagen.",C'était l'endroit rêvé pour te le dire.
"Sie sagten, sie holte das Geld selbst ab.",Ils ont dit qu'elle avait encaissé les 3 500 $en personne.
Bob würde seinen Anzug nur von dir stopfen lassen.,Tu es la seule à qui Bob ferait confiance pour s'occuper de son costume.
Willst du auch ein bisschen Wasser?,Tu en veux?
Und du bringst sie geradewegs zu uns.,Et tu nous la amené à nous.
lch habe doch alles selber gesehen.,Puisque ce que je vous dis je l'ai vu de mes propres yeux.
"Wenn du zur Familie gehörst, grab!","Si t'es un membre de la famille, alors creuse!"
Da konnten wir zusammen ein Match spielen.,Si nous jouions pour ne pas rester oisif?
Es gibt eine Zeit für alles.,Il y a un temps pour tout.
"Aber die Welt, die du geschaffen hast, die wir nicht sehen, ist auch schön.","Mais celui que tu as créé et qui nous est invisible est beau, lui aussi."
"Das erste Mal machte Spass, aber...","C'était marrant au début, mais si on continue comme ça..."
"Um dir zu sagen, dass ich tiefe Gefühle für Elizabeth habe.",Te dire que j'éprouvais de profonds sentiments pour Elizabeth.
Elin ist mit einem Jungen da drin!,C'est Elin avec un mec.
Er hat nicht nur die Körper gegessen.,Ils ont inspecté l'intérieur.
Der Typ hat wohl ein paar Bier zu viel getrunken!,"A mon avis, ce mec est pas très net."
"Sie kommen mitten in der Hochsaison, Mr Fenty, aber wir finden Hotelzimmer für euren ganzen verdammten Haufen.","Fenty, mais on va vous trouver de la place dans les hôtels."
Es ist Vetter Hugo... unser Stierkampf- Schimpanse.,"En co- vedette, notre cousin Hugo... notre chimpanzé."
"Meine ldentität, alle Geschenke des Hofes von Sparta.",J'ai perdu mes cadeaux.
Du kannst mich nicht immer retten.,Tu peux pas continuer à vouloir tout le temps me sauver.
"Du siehst aus wie eine Ballkönigin, wenn du lächelst, wie ein Mannequin.",Une vraie beauté.
Nicht der Schlaf regiert diese Welt!,Le sommeil ne gouverne pas ce monde!
"Entschuldigung, ich weiß, das ist nicht in Ordnung.","Excuse- moi, je sais que ce n'est pas correct."
"Wir müssen das aufnehmen,... damit du deinen Kindern zeigen kannst, dass du dabei warst.",Il faut I'enregistrer pour le montrer à tes enfants et dire que tu y étais.
"Eine einzige Delle, der geringste Kratzer, und sogleich werden die zuvor erwähnten Konsequenzen sicherlich uns betreffen","La moindre éraflure, la moindre dépression, et les répercutions que j'ai énoncées précédemment, ne manqueront pas de survenir..."
Dein Geruch lässt deinen Freund herkommen,Il m'a obligée à regarder.
"lhr habt hemmungslos Blut vergossen, weder Mitleid noch Erbarmen gezeigt.","Vous avez répandu tant de sang, vivant sans merci ni pitié!"
lnnerhalb von zwei Wochen bist du ein verlassener Anspruch.,"Dans deux semaines, tu es une possession abandonnée."
"Er hat sich mit Gefühlen herumgeschlagen, die ihre Ursache in Ihren ehelichen Schwierigkeiten hatten.","Il se bat avec un sentiment de trahison, découlant de vos difficultés conjugales."
"Ja, aber er ist kein besonderer Freund von mir.","Oui, mais il n'est pas tellement mon ami."
Zum Glück haben Sie den nicht geheiratet.,Quelle chance de ne pas l'avoir epouse!
"Wenn der kaputt ist, seh ich alt aus.",Comment ça va?
"Der Hohepriester sagt, dass selbst die Götter sich bekämpfen.",les dieux eux- mêmes se battent.
"Sir, die Frauen flehen Sie demütigst an... den Gefangenen zu schonen.",Ces femmes vous supplient humblement de libérer le prisonnier!
"Und du verrätst ihnen, wo ich bin.","Rendons- nous à Gethsémani, assure- toi qu'ils m'y trouvent."
"Ein Trakt fürs Personal, vor Ende dieser Nacht.",Ils auront une annexe pour les domestiques avant la fin de la nuit.
"Hatte ich dir nicht gesagt, du sollst Iris in Ruhe lassen?",Je t'ai dêjà dit de laisser Iris tranquille.
Der Patient hat Zwangsvorstellungen und... potentielle Mördertendenzen.,Le sujet peut souffrir de névrose obsessionnelle avec tendances homicides.
Er kann nicht in unsere Welt kommen.,"Mais il ne peut pas traverser, Beeman c'est impossible de traverser"
"Es wäre viel wichtiger, das Tor auf der Erde zu vernichten.","Je suis bien d'accord, Jackson."
"Sie dachten, Sie könnten den Planeten Spaceball überlisten.","Alors, Princesse Vespa, vous pensiez que vous pourriez surpasser les forces de la Planete Spaceball."
Ich kann es ihnen nicht verweigern.,Nos soldats ont mérité cette joie.
"Während ich in Löchern wie diesem auf seiner Spur bleibe, werdet ihr reich, indem ihr ihn informiert.",Je me suis donné assez de mal pour traquer Gondorff pendant que vous vous enrichissiez en nous trahissant.
"Rumschreien, blöd reden und hilflose Tiere fertig machen.",ll doit être occupé... à martyriser une pauvre bête sans défense.
"Wenn Sie das Mutter erzählten, würde sie mir glauben.","Dites- le à ma mère, elle me croira peut- être"
"Und wenn du was Ungewöhnliches hörst, lässt du es mich wissen.",Si il y a quelque chose d'anormal..... vous me prévenez
"Victor, komm hervor damit mein dummer Bruder dich sieht.","Victor, montre- toi à mon idiot de frère"
Du hast doch eine Menge ldeen.,T'as plein d'idées!
Wisst ihr...... zum Mardi Gras wollte ich schon sechs oder sieben Mal.,J'ai dû partir pour le carnaval six ou sept fois... sans jamais dépasser la frontière de l'état.
Ich lass es bei einer Warnung bleiben,Vous ne comprenez rien à tout ça.
Unser Essen ist seit zwei Monaten geplant.,Ça fait 2 mois que j'attends ce dîner!
"Sie werden die ganze Nacht essen und tanzen, auf dem Dach des Ritz von Gotham.",Festivités toute la nuit sur le toit du prestigieux Ritz- Gotham.
Was ist das für 'n Licht in deinem Mund?,T'as quoi dans la bouche?
"Oh ja, die ist wirklich süß.","Oui, elle est très gentille."
Sie sind hochempfindlich und dürfen nie... einem stärkerem Licht als diesem ausgesetzt werden.,La lumière ne doit jamais être plus forte que celle- ci
"Guten Abend, besuchen Sie uns wieder!",Catastrophe s'il contacte la Gestapo.
lch höre ein seltsames Rumpeln unter der Erde.,J'entends d'étranges grondements provenant du sous- sol.
Und jetzt wollen Sie nicht gehen.,"Aujourd'hui, vous ne voulez plus partir."
Du hast mich in den Arm genommen.,Tu m'as pris dans tes bras.
"Im dritten Stock, wo ich sie vielleicht nicht gehört hätte.","J'aurais pu m'installer... au 3e, où je ne les aurais pas entendus."
"Schreiben Sie lhren Namen, dann weiß ich alles über Sie.",Ecrivez votre nom et je vous dirai tout.
"Dumm, dass das hier nicht der Sportkanal ist.",Dommage que ça n'était pas pour le championnat du monde de Sports.
"Ich dachte, Lucy bringt mich um.",Lucy va me tuer.
"Fällt man im heiligen Krieg, kommt man ins Paradies.","S'ils meurent pour une guerre sainte, ils vont au paradis."
"Was ist mit dem Ring, den Yoghurt dir gab?",Et cette bague que Yogurt t'as donné?
Aber du musst dich nicht fürchten,Tu n'as pas à avoir peur.
Das ist doch nicht Ihr Ernst!,Vous n´etes pas sérieux!
Klar bilde ich mir nur ein er spricht,"Criez pas, où je vous plombe la gueule."
Möcht ich dich zur Himmelspforte enführen,Je t'emmène au Pays de I' Amour
Diese Aufnahmen sind eine halbe Stunde alt.,Ces images ont été filmées il y a une demi- heure.
"Du warst der beste Hirte, denn du hattest keine Schafe.",Tu étais le meilleur berger parce que tu n'avais pas de moutons.
"Sie hört nicht auf, bis sie uns getötet hat.",Elle nous tuera
Sei still oder ich bring dich um.,"La ferme, ou je vous tue."
Können wir nicht wieder so leben wie vorher?,On ne peut pas vivre de nouveau tous les trois?
"Sie trampelt auf mir herum, aber trotzdem liebe ich sie. """,Elle me méprise.
Gegen welchen Prominenten würdest du gern kämpfen?,Quelle célébrité combattrais- tu?
Diese U- Bahn liess ihre Haut erkalten.,"Ensuite, l'approche... et le coup!"
"Vielleicht wusste er, dass er tot ist.",ll savait qu'il était mort.
"Was machen Sie hier in New York, Lieutenant Dan?",Qu'est- ce que vous faites ici à New York?
Sei eine gute Mutter... für die beiden.,"Sois une bonne mère"" pour eux """
"Ich bringe uns sicher hier raus, und wenn ich...",Je vous jure que je vous sors de là si je...
Ach! trügt mich die Freude nicht?,La joie ne me trompe- t- elle pas?
"Hör mal, gib mir den Goldkurs der Pariser Börse.","Combien cote l'or à la Bourse de Paris, ce matin?"
Was bringst du ihm als Nächstes bei?,Qu'est- ce que tu vas apprendre à ce garçon?
"Vergiss nicht, du warst weder in Tunnels noch im Saloon.","Rappelle- toi, tu n'as été dans aucun tunnel ni aucun saloon."
"Ich kann gar nicht fassen, dass es wahr ist.","Faites preuve d'énergie, on est pas des gonzesses!"
"Weißt du, das ist gar nicht so einfach zu sagen.",Difficile à résumer.
Mami kann nicht die ganze Zeit bei dir bleiben.,Maman ne peut pas être toujours avec toi
Sie haben es doch selbst befohlen.,Mais c'est vous qui...
"Aber jetzt sind wir an der Reihe, sein weises Wesen gegen die giftigen Pfeile des Lebens zu schützen.",Mais sa sérénité exige de nous un rempart contre les flèches de ce monde.
"Sie können uns manipulieren, aber nicht in unsere Dimension gelangen.","Ils peuvent nous manipuler, mais pas passer dans notre dimension"
"Es gab Räucherlachs und Artischocken, aber das war uns völlig egal.",On s'en foutait.
Ich wollte die Hauptrolle so sehr.,J'aurais été bien moins bonne.
"Drei Krüge Bier, und Sie können immer noch nicht fragen.",Trois bocks de bière et tu n'oses pas.
Was hast du vor? lch spiel den Köder.,Où vas- tu?
"i>Die letzten Meter, Vale of Tears führt um sechs Längen... </ i>","Démolisseur est en tête, avec six longueurs d'avance,"
"Seid ihr sicher, was ihr da sagt?",Etes- vous sûrs de vos accusations?
"Ich muss mein Land schützen, manchmal vor seinen eigenen Fehlern.","Mon boulot est de protéger mon pays, parfois de ses propres erreurs."
"Ihr habt mit dem Kissen gespielt, als ob nichts passiert wäre.",Vous jouiez comme si rien ne s'était passé
"Also, Elizabeth, wir wollen hier vernünftig sein.","Bon maintenant, Elizabeth, essayons d'être raisonnable."
Zu Beginn der heutigen Kommunion...... möchte Chloe ein paar Worte sagen.,Chloé aimerait dire quelques mots.
"Lass mich mit dir gehen, ich kann helfen.","Laisse- moi te suivre, je peux t'aider."
"Wenn ich Hilfe nötig habe, dann bitte ich selber darum.",Je ne t'ai rien demandé
"Sie sollten sich da raushalten, falls Sie wissen, was gut für Sie ist.",Ca ne te regarde pas.
Also können wir noch grausamer werden.,Alors mettons le paquet.
"Du bist jung, ruiniere dein Leben nicht!","Jimmy, tu es jeune, tu vas gâcher ta vie."
Vom Eiffelturm muß sie heute nachmittag ganz toll sein für dich und Dr. Alembert.,Ce sera encore plus beau de la Tour Eiffel avec le Dr Alembert cet après- midi!
Aus einer möglichen Zukunft... von Ihrem Standpunkt aus betrachtet.,D'un futur possible... de ton point de vue.
"Entweder hat er Ärger, oder er kriegt welchen.","Je veux dire que, soit il a des problèmes, soit il va en avoir."
"Die Dinge, die man besitzt, besitzen einen am Ende.",Ce que tu possèdes finit par te posséder.
"Das Geld, das ich euch gerade gab, ist eine Menge für mich.","Ce que je vous ai donné, c'est beaucoup d'argent pour moi."
"Ich glaub auch nicht, was gestern Nacht passiert ist.","Moi, j'ai passé une nuit incroyable."
"Na, das ist doch mal was.","Ah, on progresse..."
"Wakané, Kélétigui und Mamadi... haben alle vor meinen Augen desertiert.","Wakhané, Kélétigui et Mamadi ont tous déserté sous mes yeux."
"Wenn wir hier bleiben, werden wir nicht stören.","En ne bougeant pas d'ici, nous ne le gênons pas."
Ich bin Zoodirektor und schatze Ihre Hilfsbereitschaft und Kuhnheit.,J´apprécie votre amabilité et votre courage.
Und trotzdem bezahlen wir nie die Miete.,Le loyer est trop cher.
"An der Haustür war kein Schloss, seit die Polizei oder sonst wer sie eingetreten hatte.","Fenêtres condamnées, pas de serrure sur la porte d'entrée, probablement virée parla police."
Denn du wirst kein Gesicht mehr haben.,Tu seras méconnaissable.
Fang am Ende von Nummer vier an.,Commence au bout du numéro quatre.
"Doch dass lhr sie so kurz nach seinem Tode tragt, wollte ich nicht wahrhaben.","Mais les porter sitôt après sa mort, comment y penser?"
Aber er redete nur mit mir,"À tout à l'heure, Kevin."
"Da wär ich gar nicht so sicher, sie war ziemlich scharf drauf.",Elle aimait ça.
"Als Letztes sagte sie heute Morgen, dass ich Sie mitbringen soll.",Elle m'a bien dit ce matin de m'assurer que vous reveniez avec moi.
Wer will schon als Elastigirl einkaufen gehen?,"Qui voudrait faire ses courses en Elastigirl, vous pigez?"
Obwohl ich zum Teil auch aus meinem eigenen Leben berichte.,"Une œuvre de fiction, même si j'y ai mis beaucoup de ma vie..."
"Wir sind da, wenn wir da sind.",On arrivera quand on arrivera!
Das ist keine Arbeit für Ehemänner.,Les époux ne font pas ce travail.
"Ich bin dir sehr dankbar, lieber Gylfi.","Merci, je savais que je pouvais compter sur toi."
Sie hat meine Mutter damit fast zu Tode geängstigt.,"Elle terrorisait ma mère, à la faire mourir."
"Du findest das lustig, aber für Dämonen klingt das wie Fingernägel an der Tafel.","Oui ça te faire rire, mais pour les anges déchus c'est comme des ongles sur un tableau noir."
"Wenn du der Herr bist, dann musst du mich taufen.","Si tu es le Maître, c'est à toi de me le donner."
"Wohin er auch geht, wen er auch sucht, es ist uns bekannt.","Où qu'il aille, quoi qu'il cherche, nous le saurons."
Aber manchmal gibt uns irgendwas erst den entscheidenden lmpuls.,Mais parfois par moment quelque chose se présente qui nous donne juste le bon petit coup.
Du hast mir schon genug Ärger gebracht.,Tu m'as attiré assez d'ennuis comme ça.
"Herr Direktor, 2 Decken fur Sie.","Monsieur le directeur, prenez 2 couvertures."
"Was hältst du davon, wenn wir bei Santa Rosa rausfahren... und uns Sanford angucken, ok?",Si on sortait à Santa Rosa Road pour commencer par le Domaine de Sanford?
"Hidetora zu verschonen, verrückt oder nicht.","L'erreur, ce fut d'avoir épargné Hidetora, même fou."
"Nein, ist ok, es hört gleich auf.",Encore une nuit tragique:
"Also Jungs, das heisst, wir gehen nirgendwohin.","Vous voyez, les mecs, on a des chances de crever ici."
Aber natürlich glaubt Ihr mir nicht.,"Tu ne me crois pas, naturellement."
Eure rechte Hand ist ein zweiköpfiges Ungeheuer!,"C'est un monstre à deux têtes, votre bras droit!"
"Sie kann tun, was sie will, es ist egal",Elle les tient tous à bout de bras
Ich will nicht von ihm gestört werden.,Je ne veux pas me mettre en colère.
"Die zweite malt sich aus, was ware, wenn sie mit den Krapfen schmeisen wurde.",La seconde pensera á l´effet produit si elle lanqait les beignets sur les gens.
Ich will nicht als Ausrede gelten!,Je vous sers d'excuse à nouveau.
"Detective Lee, ich gebe es nur ungern zu, aber der U. S. - Geheimdienst steht tief in Ihrer Schuld.","lnspecteur Lee, je dois reconnaître que nos services secrets vous sont redevables."
"Wir bluten, weil dieser russische Schrott uns geschwächt hat.",Trop faibles devant la blindaille russe.
"Wenn wir überleben wollen, müssen wir einen Tyrannen wählen.","Si on veut survivre, il y a le choix entre les tyrans."
"Ihr habt Fortschritte gemacht, habt euch die Atomkraft zunutze gemacht.",Vous savez exploiter I'énergie atomique.
"Ein alter Freund von lhnen kommt, der Führer!",Un vieil ami à vous vient à Varsovie.
"Er ging unter der Sonne und dem Mond, über Sand und Stein, sündigte, verspürte Schmerz, sehnte den Himmel herbei.","ll a marché sous le soleil et sous la lune, sur le sable et sur la pierraille, il a péché, éprouvé la douleur, aspiré au paradis."
Sie ist zu klein für eine Garnison.,C'est un coin sans intérêt stratégique.
"Vielleicht sollte ich das tun, Sir.",C'est moi qui aurait dü y aller.
Er hat dich geprüft und er ist zufrieden mit dir.,"ll t'a mis à I'épreuve, il est satisfait de toi."
Ich könnte mich an diesen Job gewöhnen.,"Ça me branche bien, ce plan super- héros."
Sie wäre die ideale Frau für Euch.,Elle serait parfaite pour vous.
da nahm das Biest den Löffel und schlug New York zu Brei.,"Malgré les moyens mis en oeuvre, le cauchemar se poursuit à New York."
Bricht dir das Herz - Wahrlich,Te voir tout à coup comme ça...
Wer hat vor lhnen schon Angst?,Qui aurait peur de vous?
Das Schiff wird sich in drei Minuten selbst zerstören.,Ce vaisseau s'auto- détruira dans 3 minutes.
Sie war keins der Rossi- Mädchen!,"Elle travaillait pour Goldstein, pas pour Rossi."
"Man weiß nie, was man kriegt.",On ne sait jamais sur quoi on va tomber.
Deine Freaks schlugen mich mit 'nem Besen!,Tes tarés au crâne rasé m'ont tabassée!
Wir waren den ganzen Krieg über an der Front.,"Depuis le début de cette guerre, on est en première ligne."
Ihre Vorgängerin redete sowieso zu viel.,La précédente parlait trop.
"Der ist Teil einer Fluglinien- Werbeaktion, die verblüffend ist.",Ça fait partie d'une super campagne de promotion.
"Man kommt nicht aus der Stadt raus, glaub mir.","On ne peut quitter la ville, j'ai essayé."
In welche Gruppe gehort denn Saturnin?,Oú classeriez- vous alors Saturnin?
"Lieutenant Dan, was machen Sie hier?","Lieutenant Dan, que venez- vous faire ici?"
Ich lasse 3 Tonnen Dynamit in 2 Minuten fallen.,Je lâche trois tonnes de dynamite en deux minutes.
"Oh, du hast noch mal darüber nachgedacht.",Et...?
Das Kind ist nicht von mir.,A qui parliez vous?
Du hast doch für mich bezahlt.,Tu as payé pour moi.
"Und dann sagst du, es sei mir egal.",Tu dis que je ne veux pas écouter.
Welche Art Mann... denkt ständig an Fledermäuse?,Quel genre d'homme a des chauves- souris au plafond?
Dieser Typ hatte etwas Ärger mit eurem Teamspielern.,Cet homme a eu un petit contentieux avec vos co- équipiers.
"Er ist irgendwie hohl, schwammig, überreif und viel zu...","Il est plutôt creux, mou et surmûri."
"Anhand ihrer schönen Trikots und freundlichen Gesichter, kann man ihre Ehrlichkeit und Sportsgeist erkennen.",Ils respirent la loyauté et le fair- play.
"Ich habe heute auch mit der Agentur gesprochen, die sagen, dass du dort nicht mehr arbeitest.","Écoute, j'ai parlé à l'agence aujourd'hui et ils disent que tu n'y travailles plus."
In dem Restaurant habe ich die Toilette demoliert.,"J'avais bien démoli les toilettes, au restaurant."
"Irren ist menschlich, aber darauf beharren ist diabolisch!","L'erreur est humaine, mais y persister, cela est diabolique!"
Gibt' s neue Mädchen auf der Straße?,Tu as vu une nouvelle fille ces derniers jours?
Ein Elitemitglied des Barcelona Jet Set.,Un membre éminent de la jet- set de Barcelone.
"Ich tu' s für dich, John.","Pour vous, John."
"Hey, Baby, was suchst du da?","Hé, bébé, qu'est- ce que tu fais?"
W- l- L- C- O- X. Im dritten Stock.,Au 3ème étage.
Nehmen Sie die Fotos von der Hure und hauen Sie ab.,Prends les photos de ta pute et barre- toi.
Eine schöne Erinnerung an sorglose Tage,Elle leur rappelait une époque plus légère
"Sagen Sie, was Sie über De Pablo wissen.",Dites- moi ce que vous savez sur De Pablo.
"Sie glauben, die menschliche Seele zu finden, indem sie unsere Erinnerungen verstehen.",Ils pensent découvrir l'âme en comprenant comment fonctionnent nos souvenirs.
"Was mich kümmert sind Magazine mit Prominenten,...... 500 Fernsehkanäle,...... ein Firmenname auf meiner Unterwäsche.","la télévision avec 500 canaux, mes sous- vêtements griffés."
"Das ist sehr lieb von dir, Gylfi.",Formidable.
"Ich bemühe mich, ich verspreche es.","Je ferai de mon mieux, je te le promets."
Zieh den kleinen Hebel und BUMM!,Tu n'as qu'à appuyer sur la détente.
Und aus Angst versteckst Du Dich im Kloster.,Et c'est par peur que tu veux te cacher dans un couvent!
"Na ja, weißt du, ich möcht mit dir... einfach abhauen.",Et bien baiser quoi.
"Das ist der Vater, das die Mutter.","Le père, la mère"
Hast du mit Mulligan die richtige Zeit ausgemacht?,Tu t'es mis d'accord sur l'heure?
Das Wasser im Fluss hat teilweise 30 Grad.,La rivière doit être à 26 degrés.
"Sieh nach, wie tief der Fluss ist.",Va jauger le niveau de la riviere.
Ein Sandsturm kommt direkt auf uns zu.,L'oeil du dieu Ra.
Er ist tot. lch weiß es.,Je le sais.
"Sie legen ihn einfach um, warum haben Sie ihn nicht erst verhört?",Vous n'auriez pas pu le surveiller?
"Weil du schon mit dem Thema angefangen hast... du bist das erste Mädchen, mit dem ich je was zu tun hatte.",Puisqu'on en parle... pour moi vous étiez la première.
"Heute besingt es dich, doch morgen wird es dich zertrampeln... und einen anderen Tyrannen besingen.","Mais demain, il te piétinera et chantera pour un autre tyran."
Das ist extrem wichtig für mich.,Je n'ai pas besoin de vous dire combien c'est important pour moi.
Zu schön für einen sterblichen Mann!,Un simple mortel ne mérite pas tant.
"Gott sagte uns, du wirst uns erscheinen.",Dieu nous a averti que tu te manifesterais à nous.
"Wie die Wunde im Mund, die heilen würde, ließe man sie bloß mit der Zunge in Ruhe.","Marla, cette petite écorchure dans la bouche qui guérirait si vous cessiez de la lécher."
So lasse dein Kind Zuflucht finden in deinem Königreich.,Accorde à ton enfant l'entré de ton royaume...
"Koumbi, du bist in der Falle!","Koumbi, tu es piégée!"
Der Traum zum Alptraum wird allnächtlich,On ressort des cauchemars parmi les rêves
Die drehen ein Video und brauchen einen Arzt.,On tourne un vidéoclip et il nous faut un médecin sur le set.
Vielleicht war das Verscherbeln von Fälschungen schlecht für die Gesundheit.,Peut être bien que de vendre des faux a été mauvais pour ta santé
Ich bin auf dem Walkie- Talkie.,Dans le talkie- walkie.
"Ich kann nicht segnen, was ich sehe.",Je ne puis bénir l'avenir que je vois.
Ich habe meine grosse Liebe gefunden.,J'ai un amour dans ma vie.
"Ich kann es noch nicht auswendig, Mami.",Je ne la sais pas encore
"Du musst was anders finden, wo du hingehen kannst.","Alors, va voir ailleurs."
"Ich hab' s. Wär doch viel einfacher, irgendwie:","Si on pouvait seulement dire,"
"Er wollte nicht Krüppel genannt werden, so wie ich nicht dumm genannt werden wollte.",Il voulait pas qu'on le traite d'infirme comme je voulais pas qu'on me traite de stupide.
"Jedesmal, wenn sich das Flugzeug bei Start oder Landung zu stark neigte,...... betete ich um ein Unglück oder einen Zusammenstoß in derLuft.",Ou pour qu'il y ait une collision.
"Sie kommen in einer Woche wieder, und dann haben wir das Ergebnis Ihres Tests.","Reviens dans sept jours... et on devrait avoir les résultats, ok?"
Die Leute erschrecken sich zu Tode.,Et ça impressionne beaucoup.
"Behalt mich im Auge, dann wirst du merken, wann du loslegen kannst.","Je m'en occupe, puis tu attaques."
Mein ganzer verdammter Platoon ist hinüber!,Toute ma putain de section est décimée!
Ich hab gerade bei euch angerufen.,Maman?
"lch weiß auch, dass Sie gut kämpfen.",Et je sais que vous savez vous battre.
Ich habe es jedem Weisen im Universum gezeigt.,Je l'ai amené à tous les sages de l'univers.
"Mami will nicht, dass wir uns trennen.",Il ne faut pas se séparer
lch erhöhe das um weitere 50.,Pas pour moi.
Die Welt muss nicht gerettet werden.,Le monde n'a pas besoin d'être sauvé.
"Sag mir doch, wo du bist!",Peux- tu me dire où tu es?
Wie sieht es mit lnfanterie aus?,ll y a de l'infanterie?
David tötete Goliath mit nur einem Stein.,"D'une seule pierre, David a abattu Goliath."
Sie haben mit sich selbst Probleme!?,Vous avez un problème avec vous- même?
"Nenn mich einfach Coco, wie alle andern.","Appellez- moi Coco, comme tout le monde."
Er wird uns in der Stadt helfen können.,ll nous servira de guide à Nancy.
Jemand im Haus sah sie dort ankommen.,Je veux juste m'assurer qu'elle va bien.
Immer noch nicht auf dem Radar.,Il ne sont toujours pas sur le scanner.
"Ich hab was für dich, Jennie- Jen.",Regarde.
"lch kriege später noch genug Melancholie, ohne mir sie zu holen.",J'aurai assez le cafard plus tard sans aller encore en rajouter.
"Ihr tut so, als würdet ihr kein Wort verstehen.",Vous refusez de comprendre?
"Papa, wir wohnen schon zwei Jahre hier.",Non.
"Sie verließ das Hotel heute früh, als Sie Dienst hatten.",Pendant votre service...
