German,French
Die Kommunikation zwischen den Studenten und Professoren ist offen und ehrlich.,La communication entre les étudiants et les professeurs est ouverte et honnête.
"Ich will nicht mit Gewalt hierher zurück, verstehen Sie?",Je ne vais pas rester plus longtemps.
Die Reise nach Asien war eine der besten Erfahrungen meines Lebens.,Le voyage en Asie a été l'une des meilleures expériences de ma vie.
Mein Freund hat gerade seine Promotion gemacht und wird bald Doktor sein.,Mon ami vient de passer son doctorat et va bientôt être docteur.
Die Beziehungen zwischen den Studenten an der Universität sind sehr wichtig für das Lernklima.,Les relations entre les étudiants à l'université sont très importantes pour l'ambiance d'apprentissage.
"Sie muss gesäubert, gut geölt und aufgezogen werden.","l'entretenir, la graisser et la remonter."
Ich habe meine besten Freunde während meines Studiums kennengelernt.,J'ai rencontré mes meilleurs amis pendant mes études.
Meine Mutter ist eine gute Köchin,"Ma mère est une bonne cuisinière,"
"Mein Freund hat mich dazu inspiriert, hart zu arbeiten und nie aufzugeben.",Mon ami m'a inspiré à travailler dur et à ne jamais abandonner.
"Der Campus ist sehr groß und bietet viele Einrichtungen wie ein Fitnessstudio, einen Pool und eine Mensa.","Le campus est très grand et offre de nombreux équipements tels qu'une salle de sport, une piscine et une cafétéria."
Die Stadt hat eine wunderschöne Architektur und viele historische Gebäude.,La ville a une architecture magnifique et de nombreux bâtiments historiques.
"Ich liebe es, neue Leute kennenzulernen und Beziehungen aufzubauen.",J'adore rencontrer de nouvelles personnes et établir des relations.
Die Stadt Rom ist berühmt für ihre historischen Sehenswürdigkeiten.,La ville de Rome est célèbre pour ses monuments historiques.
Unser Chef ist sehr nett und unterstützt uns bei unseren Projekten.,Notre patron est très gentil et nous soutient dans nos projets.
Die Universität bietet viele Möglichkeiten für internationale Austauschprogramme.,L'université propose de nombreuses opportunités pour des programmes d'échange internationaux.
Die Beziehungen zwischen den Studenten sind sehr wichtig für das akademische Leben.,Les relations entre les étudiants sont très importantes pour la vie académique.
Der Chef ist sehr erfreut über unsere Teamarbeit.,Le patron est très heureux de notre travail d'équipe.
Die Universität organisiert regelmäßig Veranstaltungen und Workshops für Studenten.,L'université organise régulièrement des événements et des ateliers pour les étudiants.
Die Universität unterstützt ihre Studenten bei der Suche nach einem Praktikum oder einer Arbeit.,L'université soutient ses étudiants dans leur recherche d'un stage ou d'un emploi.
Ein Besuch im Kino am Wochenende ist immer ein Highlight.,Une visite au cinéma le week-end est toujours un moment fort.
Ein Urlaub am Meer ist immer schön.,Un congé à la mer est toujours agréable.
Die meisten meiner Freunde arbeiten bereits in ihrem Traumjob.,La plupart de mes amis travaillent déjà dans leur emploi idéal.
"Ein Museumsbesuch kann sehr lehrreich und interessant sein, besonders wenn man sich für Geschichte und Kunst interessiert.","Une visite de musée peut être très instructive et intéressante, surtout si l'on s'intéresse à l'histoire et à l'art."
Und ohne den kann ich nicht leben!,Et je ne peux pas vivre sans!
"Die Universität bietet viele Möglichkeiten, sich weiterzubilden und neue Fähigkeiten zu erwerben.",L'université offre de nombreuses possibilités de formation continue et d'acquisition de nouvelles compétences.
"Radfahren ist ein gesunder Sport, um fit zu bleiben.",Le cyclisme est un sport sain pour rester en forme.
"Eine Fahrradtour durch die schöne Landschaft ist ein wunderbarer Weg, um die Natur zu genießen.",Une excursion à vélo à travers la belle campagne est un moyen merveilleux de profiter de la nature.
Die Studenten sind sehr freundlich und offen.,Les étudiants sont très aimables et ouverts.
"Der Tennis ist ein anspruchsvoller Sport, der much Übung erfordert.",Le tennis est un sport exigeant qui nécessite beaucoup d'entraînement.
Ein Museum besuchen kann sehr lehrreich sein.,Visiter un musée peut être très instructif.
"Ich hätte draußen mit meinen Männern sterben sollen, aber jetzt bin ich nur noch ein Krüppel, eine Missgeburt ohne Beine!","Maintenant, je ne suis plus qu'un putain d'infirme, un cul- de- jatte."
lch passe. lm Moment trinke ich nichts.,Je ne bois pas.
"Ich wollte dich nicht mit reinziehen, aber es geht nicht anders.","Je ne voulais pas t'y mêler, je n'y peux rien."
"Entschuldigung, ich weiß, das ist nicht in Ordnung.","Excuse- moi, je sais que ce n'est pas correct."
Wir verbringen viel Zeit mit unseren Freunden am Wochenende.,Nous passons beaucoup de temps avec nos amis le week-end.
Ich bin ein großer Fan von Tennis und schaue mir gerne die Turniere an.,Je suis un grand fan de tennis et je regarde volontiers les tournois.
Ich esse gerne Pizza,"J'aime manger de la pizza,"
Mein Partner unterstützt mich bei meiner Arbeit und meinen Studien.,Mon partenaire me soutient dans mon travail et mes études.
Die Bibliothek der Stadt bietet eine große Auswahl an Büchern und Zeitschriften an.,La bibliothèque de la ville propose un large choix de livres et de revues.
"Hennessy, Beeman, das waren auch mal deine Freunde, weißt du das noch?","Hennessy, Beeman, c'étaient tes amis aussi, tu te rappelles?"
Ein Spaziergang im Park kann sehr erholsam sein.,Une promenade dans le parc peut être très reposante.
Der heutige Versuch wird an folgenden Orten vorgenommen:,L'expérience de ce soir se déroulera dans ces endroits...
"Du hast Angst davor, alleine zu sein.",Tu as peur d'être seul.
"Es macht euch Jungs Spass, Kung- Fu im Fussball anzuwenden und dann ins Finale zu kommen.",Et de décrocher comme une fleur la finale.
Die Stadt Sydney ist berühmt für ihren wunderschönen Strand und ihr Opernhaus.,La ville de Sydney est célèbre pour sa belle plage et son opéra.
Die Kommunikation zwischen den Kollegen im Büro ist sehr gut.,La communication entre les collègues du bureau est très bonne.
"Ein Besuch in einem Museum ist eine gute Gelegenheit, Geschichte zu erfahren.",Une visite dans un musée est une bonne occasion d'en apprendre sur l'histoire.
In meinem letzten Jahr an der Universität musste ich viel mehr Verantwortung übernehmen.,"Durant ma dernière année à l'université, j'ai dû prendre plus de responsabilités."
Meine Kollegen im Büro sind auch meine Freunde und wir verbringen viel Zeit miteinander.,Mes collègues du bureau sont aussi mes amis et nous passons beaucoup de temps ensemble.
Meine Mutter kocht sehr gerne italienische Gerichte,"Ma mère cuisine très volontiers des plats italiens,"
"Ein Konzert besuchen ist eine tolle Möglichkeit, neue Musik zu hören.",Assister à un concert est une excellente façon d'entendre de nouvelle musique.
Unsere Abteilung organisiert regelmäßig Team-Building-Aktivitäten.,Notre département organise régulièrement des activités de construction d'équipes.
"Ich gehe jeden Tag auf den Markt, um frische Lebensmittel zu kaufen","Je vais tous les jours au marché pour acheter des produits frais,"
"Ich liebe es, neue Leute kennenzulernen, insbesondere auf der Universität.","J'adore rencontrer de nouvelles personnes, surtout à l'université."
Mein Bruder ist sehr gut im Tennis.,Mon frère est très doué pour le tennis.
Die Atmosphäre auf dem Campus ist sehr freundlich und entspannt.,L'atmosphère sur le campus est très accueillante et détendue.
Mein Freund ist sehr kreativ und inspiriert mich oft.,Mon ami est très créatif et m'inspire souvent.
"Passen Sie gut auf sich auf,...",Et faites attention à vous.
Das Theaterstück war sehr unterhaltsam und hat mich zum Lachen gebracht.,La pièce de théâtre était très amusante et m'a fait rire.
Die Studentenverbindung ist ein wichtiger Teil des Uni-Lebens.,L'association étudiante est une partie importante de la vie universitaire.
"Ich denke, wir sollten nun unsere eigentliche Stärke zeigen.",Il est temps de leur sortir notre grand jeu.
"Das Internet bietet viele Möglichkeiten, um sich über various Themen zu informieren.",Internet offre de nombreuses possibilités pour se renseigner sur divers sujets.
"Wenn ich frei habe, gehe ich gerne ins Kino oder Theater.","Quand je suis libre, j'aime aller au cinéma ou au théâtre."
"Das Lesen von Büchern über verschiedene Kulturen hilft mir, meine Kenntnisse zu erweitern.",La lecture de livres sur différentes cultures m'aide à élargir mes connaissances.
Ein Abend im Theater oder bei einem Konzert ist immer etwas Besonderes.,Un soir au théâtre ou à un concert est toujours quelque chose de spécial.
"Wenn Euch das nicht passt, solltet lhr vielleicht besser umkehren und ihn um Entschuldigung bitten.","Si cela ne vous va pas, mieux vaudrait revenir chez lui et lui présenter vos excuses."
"Wir müssen noch mal halten, ich sage lhnen, wo.",Nous nous arrêterons en route.
"Ich verbinde Sie mit einem hübschen Mädchen,... wenn Sie mir Ihre Kreditkarten- Nummer geben, samt Ablaufdatum.",Je vous branche sur une belle fille... si j'ai votre numéro de carte de crédit et sa date d'expiration.
Ich habe durch mein Studium viele interessante Menschen getroffen und wertvolle Kontakte geknüpft.,J'ai rencontré grâce à mes études beaucoup de gens intéressants et ai établi des contacts précieux.
"Ihr habt Fortschritte gemacht, habt euch die Atomkraft zunutze gemacht.",Vous savez exploiter I'énergie atomique.
"Der Dozent ist sehr gut darin, komplexe Themen einfach zu erklären.",L'enseignant est très doué pour expliquer des sujets complexes de manière simple.
Oder schalte ich ihn aus und riskiere alles?,Et une paire de gants matelassés pour éviter... de me trancher les doigts.
Die Kommunikation zwischen den Kollegen ist sehr wichtig im Büroalltag.,La communication entre les collègues est très importante dans la routine quotidienne du bureau.
Die Schule bietet eine Vielzahl von außerschulischen Aktivitäten für die Schüler an.,L'école offre une variété d'activités extrascolaires pour les élèves.
Wir machen oft Gruppenarbeiten mit anderen Studenten aus verschiedenen Kursen.,Nous faisons souvent des travaux de groupe avec d'autres étudiants de différents cours.
"Wenn ich freiwillig Urlaub nehmen kann, gehe ich immer ans Meer.","Quand je peux prendre des vacances volontairement, je vais toujours à la mer."
Ich teile eine Wohnung mit meinen Freunden in der Nähe der Universität.,Je partage un appartement avec mes amis près de l'université.
Ich habe einen kleinen Garten in meinem Haus,"J'ai un petit jardin dans ma maison,"
"Seid ihr sicher, was ihr da sagt?",Etes- vous sûrs de vos accusations?
"Das Studium an der Universität ist nicht leicht, aber es lohnt sich.","Étudier à l'université n'est pas facile, mais ça vaut la peine."
"Und was hältst du von dem hier, Miles?",Tu le noterais comment?
"Skifahren ist ein toller Sport, den man im Winter ausüben kann.",Le ski est un excellent sport que l'on peut pratiquer en hiver.
Meine Schwester spielt gerne Klavier,"Ma sœur joue volontiers du piano,"
"Er sagt, dass da oben ein Wagenzug feststeckt.",Il dit qu'il y a un wagon de train bloqué par là- bas.
Zieh den kleinen Hebel und BUMM!,Tu n'as qu'à appuyer sur la détente.
"Meine Freunde und ich lieben es, gemeinsam Radtouren zu unternehmen.",Mes amis et moi adorons faire des randonnées à vélo ensemble.
"Meine Freundin hat mich dazu gebracht, mehr über meine Fähigkeiten nachzudenken.",Ma copine m'a poussé à réfléchir davantage sur mes compétences.
"Er hat sich mit Gefühlen herumgeschlagen, die ihre Ursache in Ihren ehelichen Schwierigkeiten hatten.","Il se bat avec un sentiment de trahison, découlant de vos difficultés conjugales."
Die Zusammenarbeit zwischen den Studierenden ist essentiell für den Erfolg.,La collaboration entre les étudiants est essentielle pour le succès.
"Meine ldentität, alle Geschenke des Hofes von Sparta.",J'ai perdu mes cadeaux.
Die Kommunikation zwischen den Abteilungen im Unternehmen ist sehr wichtig.,La communication entre les départements de l'entreprise est très importante.
Meine Mutter kocht sehr gut und macht leckere Gerichte,"Ma mère cuisine très bien et prépare des plats délicieux,"
Sie hätte es für jeden Sklaven getan.,La reine déteste la cruauté... qu'il s'agisse de n'importe qui.
"Mein Traum ist es, einmal den Mount Everest zu besteigen und die atemberaubende Aussicht zu genießen.",Mon rêve est de gravir un jour le mont Everest et de profiter de la vue à couper le souffle.
Der Flug von Frankfurt nach New York dauert etwa neun Stunden,Le vol de Francfort à New York dure environ neuf heures
Mein Vater arbeitet als Ingenieur und verdient gut,"Mon père travaille comme ingénieur et gagne bien,"
"Ein Trakt fürs Personal, vor Ende dieser Nacht.",Ils auront une annexe pour les domestiques avant la fin de la nuit.
Die Uni bietet viele Möglichkeiten zur beruflichen Entwicklung.,L'université offre de nombreuses opportunités de développement professionnel.
"Unsere Abteilung ist wie eine große Familie, wir helfen uns alle gegenseitig.","Notre département est comme une grande famille, nous nous aidons tous mutuellement."
Aber manchmal gibt uns irgendwas erst den entscheidenden lmpuls.,Mais parfois par moment quelque chose se présente qui nous donne juste le bon petit coup.
Wir haben letztes Jahr eine tolle Reise nach Paris gemacht.,Nous avons fait un excellent voyage à Paris l'année dernière.
"Wir haben uns entschieden, unsere Hochzeitsreise nach Italien zu machen.",Nous avons décidé de passer notre lune de miel en Italie.
"Ich bin dankbar für meine Freundschaften, sie machen mich glücklich und unterstützen mich.","Je suis reconnaissant pour mes amitiés, elles me rendent heureux et me soutiennent."
Die deutsche Bundesliga ist eine der besten Fußball-Ligen der Welt.,La Bundesliga allemande est l'une des meilleures ligues de football du monde.
"Skifahren ist ein aufregender Sport, um die Berge zu erkunden.",Le ski est un sport passionnant pour explorer les montagnes.
Das Wichtigste an einer Beziehung ist Vertrauen und Respekt.,"L'essentiel dans une relation, c'est la confiance et le respect."
Ich bin dankbar für meine Beziehungen zu meinen Freunden und meiner Familie.,Je suis reconnaissant pour mes relations avec mes amis et ma famille.
Meine Universitätszeit war eine der besten Zeiten in meinem Leben.,Mon temps à l'université a été l'un des meilleurs moments de ma vie.
Der Himmel ist heute blau und sonnig,"Le ciel est bleu et ensoleillé aujourd'hui,"
"Es tut mir Leid, aber laut Paragraph 17 ist der Schaden nicht gedeckt.","Je suis désolé, Mme Hogenson, mais notre responsabilité civile est bien expliquée au paragraphe 17."
"Ich bin sehr müde, weil ich letzte Nacht spät ins Bett gegangen bin","Je suis très fatigué parce que je me suis couché tard dans mon lit la nuit dernière,"
Die Stadt New York ist bekannt für ihr vielfältiges Nachtleben.,La ville de New York est connue pour sa vie nocturne variée.
Der Hund läuft schnell im Park,"Le chien court vite dans le parc,"
"lkoma und Ogura, lhr habt viel getan für die lchimonjis in diesen schweren Zeiten.",Vous avez bien travaillé pour les lchimonji en ces temps troublés.
Das Wetter ist heute nicht sehr gut,"Le temps n'est pas très bon aujourd'hui,"
Bis hierher hab ich Sie gebracht.,Je vous ai conduits jusqu'ici.
Ich möchte eines Tages nach Australien reisen,"Je voudrais voyager en Australie un jour,"
"Es ist nicht leicht, das Studium und die Arbeit unter einen Hut zu bringen.",Ce n'est pas facile de concilier les études et le travail.
Die Universität bietet viele Ressourcen und Einrichtungen für Studenten an.,L'université propose de nombreux ressources et équipements pour les étudiants.
"Ich bin froh, dass ich eine gute Beziehung zu meinem Chef habe, das macht die Arbeit leichter.","Je suis heureux d'avoir une bonne relation avec mon patron, cela rend le travail plus facile."
"Nein, du bist verletzt, viel zu langsam.",M'assurer qu'il vienne bien par ici.
Ein Besuch im Museum kann sehr lehrreich sein und unsere Kenntnisse erweitern.,Une visite au musée peut être très instructive et élargir nos connaissances.
"Radfahren ist ein gesunder Sport, der uns hilft, fit zu bleiben.",Le cyclisme est un sport sain qui nous aide à rester en forme.
"Wir verbringen viel Zeit miteinander, ob im Büro oder außerhalb.","Nous passons beaucoup de temps ensemble, que ce soit au bureau ou en dehors."
Die Schule bietet eine Vielzahl von Kursen und Aktivitäten an.,L'école propose une variété de cours et d'activités.
"Vorsicht, als Kiffer kriegt man leicht Ärger.","Et gaffe hein, les baiseurs."
Die Beziehungen zwischen den Studenten an der Universität sind sehr wichtig.,Les relations entre les étudiants à l'université sont très importantes.
Meine Beziehung zu meinem Partner ist sehr stark und unterstützend.,Ma relation avec mon partenaire est très forte et solidaire.
Unser Professor gibt uns immer gute Ratschläge und Tipps.,Notre professeur nous donne toujours de bons conseils et astuces.
Wisst ihr...... zum Mardi Gras wollte ich schon sechs oder sieben Mal.,J'ai dû partir pour le carnaval six ou sept fois... sans jamais dépasser la frontière de l'état.
Meine Beziehung zu meinem Partner ist sehr stark und liebevoll.,Ma relation avec mon partenaire est très forte et aimante.
"Du findest das lustig, aber für Dämonen klingt das wie Fingernägel an der Tafel.","Oui ça te faire rire, mais pour les anges déchus c'est comme des ongles sur un tableau noir."
Das Studium an der Universität war eine großartige Erfahrung für mich.,Étudier à l'université a été une expérience formidable pour moi.
"Meine Professorin ist sehr nett und hilft mir immer, wenn ich Probleme mit dem Studienstoff habe.",Ma professeure est très gentille et m'aide toujours lorsque j'ai des problèmes avec la matière d'étude.
"Er ging unter der Sonne und dem Mond, über Sand und Stein, sündigte, verspürte Schmerz, sehnte den Himmel herbei.","ll a marché sous le soleil et sous la lune, sur le sable et sur la pierraille, il a péché, éprouvé la douleur, aspiré au paradis."
"Das Surfen ist ein toller Sport, der nicht nur körperlich fordert, sondern auch mental.",Le surf est un excellent sport qui demande non seulement une condition physique mais aussi mentale.
Die Fernsehsendungen über Geschichte und Wissenschaft sind sehr interessant.,Les émissions de télévision sur l'histoire et la science sont très intéressantes.
"Das Lesen von Büchern über Geschichte und Kultur hilft mir, meine Kenntnisse zu erweitern.",La lecture de livres sur l'histoire et la culture m'aide à élargir mes connaissances.
Die Berge in der Schweiz sind ideal zum Skifahren.,Les montagnes de Suisse sont idéales pour le ski.
Die meisten Menschen verbringen ihren Urlaub gerne am Strand oder in den Bergen.,La plupart des gens passent leurs vacances volontiers sur la plage ou dans les montagnes.
Mein Bruder studiert gerade Medizin an einer renommierten Universität.,Mon frère étudie actuellement la médecine dans une université réputée.
"Longovital, ""Kräuter - und Vitamintabletten"", so ein Scheiß.","Longovital, pastilles aux herbes et vitamines."" Non, Elin..."
"Empfangen vom Heiligen Geist...... geboren von der Jungfrau Maria, gelitten unter Pontius Pilatus...... gekreuzigt, gestorben und begraben.",Est descendu aux Enfers.
Mein Chef ist sehr zufrieden mit meiner Arbeit im Büro.,Mon patron est très satisfait de mon travail au bureau.
"Nun, das ist nicht so einfach, wie es klingt.",C'est moins facile qu'il n'y paraît.
"Wir haben viel Spaß zusammen, wenn wir nicht gerade für Prüfungen lernen.","Nous avons beaucoup de plaisir ensemble, quand nous n'apprenons pas pour les examens."
"Hör mal, sie ist 14, und du bist 17.","Elle a 16 ans, oui."
Die Atmosphäre im Büro ist sehr entspannt und angenehm.,L'atmosphère du bureau est très détendue et agréable.
"Ich mag es, wenn ich auf Reisen neue Menschen treffe und ihre Geschichten höre.",J'aime rencontrer de nouvelles personnes lors de mes voyages et entendre leurs histoires.
Ich habe gestern Abend einen Film im Kino gesehen,"J'ai vu un film au cinéma hier soir,"
i> - Warum haben wir so viel Kram?,Pourquoi a- t- on autant de trucs?
Ich bin ein großer Bewunderer der Musik von Mozart.,Je suis un grand admirateur de la musique de Mozart.
Die Zusammenarbeit zwischen den Teams im Büro ist sehr gut.,La collaboration entre les équipes dans le bureau est très bonne.
Der Berg ist sehr steil und nur erfahrene Wanderer sollten ihn besteigen.,La montagne est très escarpée et seuls les randonneurs expérimentés devraient l'escalader.
Du kannst so gut mit Worten umgehen.,Tu as le sens des mots.
Meine Mutter kocht das beste Essen der Welt,"Ma mère cuisine les meilleurs plats du monde,"
Sonst mach ich einen Gürtel aus dir!,Ou je te transforme en ceinture.
Eine Bootsfahrt auf dem See ist sehr erholsam.,Un tour en bateau sur le lac est très reposant.
"Ich bin gerade auf dem Weg nach Rom, um die antike Geschichte zu erleben.","Je suis actuellement en route pour Rome, afin de vivre l'histoire antique."
lch wäre in den Staaten und würde Bomben prüfen.,A trier des cartouches!
"Es gibt einige Dinge, die man während des Studiums lernen muss, um später erfolgreich zu sein.",Il y a certaines choses que l'on doit apprendre pendant ses études pour réussir plus tard.
Mein Vater arbeitet als Ingenieur bei einem großen Unternehmen,"Mon père travaille comme ingénieur chez une grande entreprise,"
Dein Geruch lässt deinen Freund herkommen,Il m'a obligée à regarder.
Wir haben jeden Freitag ein Treffen mit allen Freunden.,Nous avons chaque vendredi une réunion avec tous les amis.
Unsere Abteilung hat ein großes Team mit vielen freundlichen Mitarbeitern.,Notre département a une grande équipe avec de nombreux employés sympathiques.
Die deutsche Sprache ist sehr komplex,"La langue allemande est très complexe,"
"Oh, Scheiße. lch glaub, die kommen her.",Je te rejoins.
"Das erste Mal machte Spass, aber...","C'était marrant au début, mais si on continue comme ça..."
"Das Surfen ist ein toller Sport, um die Natur zu genießen.",Le surf est un excellent sport pour apprécier la nature.
Ein Urlaub am Meer kann sehr entspannend und erholsam sein.,Des vacances à la mer peuvent être très relaxantes et réparatrices.
Ein Abend im Theater mit Freunden ist immer unterhaltsam.,Une soirée au théâtre avec des amis est toujours divertissante.
Sie ist meine beste Freundin und ich schätze sie sehr.,Elle est ma meilleure amie et je l'apprécie énormément.
"Die Olympischen Spiele sind eine großartige Gelegenheit, unterschiedliche Sportarten kennenzulernen.",Les Jeux olympiques sont une excellente occasion de découvrir différents sports.
"Manchmal vertut sie sich auch, aber wenn es Ärger gibt, sieh zu, dass du ihn loswirst!","Parfois elle se trompe, mais s'il y a des problèmes débarassez- vous en."
Die Stadt New York ist bekannt für ihre vielfältige Musikszene.,La ville de New York est connue pour sa scène musicale diverse.
"Wenn ich auf Reisen bin, probiere ich immer die lokale Küche aus.","Quand je suis en voyage, j'essaie toujours la cuisine locale."
Mein Kollege ist auch mein bester Freund und wir helfen uns immer gegenseitig.,Mon collègue est également mon meilleur ami et nous nous aidons toujours mutuellement.
Mein Freund arbeitet im Büro nebenan und wir treffen uns oft zum Mittagessen.,Mon ami travaille dans le bureau à côté et nous nous rencontrons souvent pour déjeuner.
Die Theateraufführung war sehr beeindruckend und hat mich zum Nachdenken angereggt.,La représentation théâtrale était très impressionnante et m'a incité à la réflexion.
"Wartet ihr, bis das Ding gelaufen ist?",Vous attendrez que l'opération soit finie?
Die Universität bietet vielen Möglichkeiten und Chancen für ihre Studenten.,L'université offre de nombreuses opportunités et chances à ses étudiants.
"Mr Sansweet bat nicht darum, gerettet zu werden.",Il ne voulait pas qu'on le sauve!
"Wenn ich Urlaub mache, gehe ich gerne wandern oder skifahren.","Quand je prends des vacances, j'aime aller randonner ou skier."
Die Teilnahme an Sportveranstaltungen kann sehr motivierend sein.,La participation à des événements sportifs peut être très motivante.
Sei eine gute Mutter... für die beiden.,"Sois une bonne mère"" pour eux """
Ich muss mich auf die Prüfung vorbereiten und brauche daher viel Zeit zur Vorbereitung.,Je dois me préparer pour l'examen et j'ai donc besoin de beaucoup de temps pour la préparation.
Das Meer ist sehr tief und salzig,"La mer est très profonde et saline,"
"Und dieses Mal bestimme ich, wie er abläuft.","Cette fois, c'est moi qui organise."
"lch bin nicht so ein Mädchen, wie du dir mich vorgestellt hast.",Je ne suis pas celle que vous croyez.
"Die Fähigkeit, effektiv zu kommunizieren, ist in jedem Berufsfeld von großer Bedeutung.",La capacité de communiquer efficacement est d'une grande importance dans chaque domaine professionnel.
Wir feiern oft Geburtstage und andere Anlässe gemeinsam.,Nous célébrons souvent les anniversaires et autres occasions ensemble.
"Als Student war es nicht leicht, aber die Erfahrung hat mich stark verbessert.","En tant qu'étudiant, ce n'était pas facile, mais l'expérience m'a considérablement amélioré."
