German,French
Die Universität bietet viele Möglichkeiten für studentische Aktivitäten.,L'université offre de nombreuses opportunités pour les activités étudiantes.
"Ich verbringe viel Zeit in der Bibliothek, um meine Hausarbeiten und Projekte zu bearbeiten.",Je passe beaucoup de temps à la bibliothèque pour travailler sur mes devoirs et projets.
"Ich liebe es, neue Leute kennenzulernen, insbesondere an der Universität.","J'adore rencontrer de nouvelles personnes, notamment à l'université."
Der Film war sehr interessant und hat mich zum Nachdenken angeregt.,Le film était très intéressant et m'a incité à réfléchir.
Das Studium an der Universität war eine großartige Erfahrung für mich.,Étudier à l'université a été une expérience formidable pour moi.
"Ein Studium im Ausland kann sehr bereichernd sein, sowohl persönlich als auch beruflich.","Des études à l'étranger peuvent être très enrichissantes, tant sur le plan personnel que professionnel."
Das Training für einen Marathon erfordert viel Disziplin und Ausdauer.,L'entraînement pour un marathon nécessite muche discipline et endurance.
"Die Universität bietet viele Möglichkeiten für die Studierenden, sich weiterzubilden und ihre Fähigkeiten zu verbessern.",L'université propose de nombreuses possibilités aux étudiants pour se former davantage et améliorer leurs compétences.
Meine Kollegen sind alle sehr freundlich und hilfsbereit.,Mes collègues sont tous très gentils et serviables.
"Es ist wichtig, eine gute Balance zwischen Arbeit und Privatleben zu finden.",Il est important de trouver un bon équilibre entre le travail et la vie privée.
Die Vorlesungen sind sehr interessant und informativ.,Les cours sont très intéressants et instructifs.
"Ich verbringe viel Zeit mit meinen Freunden in der Bibliothek, um für die Prüfungen zu lernen.",Je passe beaucoup de temps avec mes amis à la bibliothèque pour étudier les examens.
Meine beste Freundin studiert Medizin an der Universität und ich bin sehr stolz auf sie.,Ma meilleure amie étudie la médecine à l'université et je suis très fière d'elle.
Ich habe an der Universität viele interessante Kurse belegt.,J'ai suivi de nombreux cours intéressants à l'université.
Wir feiern oft die Geburtstage unserer Kollegen.,Nous célébrons souvent les anniversaires de nos collègues.
Ich bin gerade aus dem Urlaub zurückgekehrt und fühle mich total erholt.,Je suis juste rentré des vacances et je me sens complètement détendu.
Meine Mutter kocht sehr gut und macht leckere Gerichte,"Ma mère cuisine très bien et prépare des plats délicieux,"
Mein Bruder spielt Fußball,"Mon frère joue au football,"
Der Berg ist ideal für Skifahrer und Snowboarder.,La montagne est idéale pour les skieurs et les snowboardeurs.
"Eine Reise nach Asien kann sehr aufregend sein, besonders wenn man die lokale Küche probiert.","Un voyage en Asie peut être très excitant, surtout lorsqu'on goûte la cuisine locale."
Die Universität bietet viele Kurse und Workshops zur persönlichen Entwicklung an.,L'université propose de nombreux cours et ateliers pour le développement personnel.
Mein Bruder spielt seit Jahren Tennis und hat bereits viele Turniere gewonnen.,Mon frère joue au tennis depuis des années et a déjà remporté de nombreux tournois.
Meine Kollegen sind alle sehr freundlich und helfen mir einander.,Mes collègues sont tous très aimables et s'entraident mutuellement.
"Ich Liebe es, im Sommer ins Theater zu gehen und klassische Stücke zu sehen.",J'adore aller au théâtre en été et voir des pièces classiques.
Unser Teamarbeit-Projekt war ein großer Erfolg dank unserer guten Kommunikation.,Notre projet de travail d'équipe a été un grand succès grâce à notre bonne communication.
Die Stadt Berlin ist sehr schön,"La ville de Berlin est très belle,"
Ich gehe jeden Morgen joggen im Park.,Je vais faire du jogging tous les matins au parc.
"Ich verbringe viel Zeit mit meiner Freundin und unseren gemeinsamen Freunden, das macht mich wirklich glücklich.","Je passe beaucoup de temps avec ma petite amie et nos amis communs, cela me rend vraiment heureux."
Das Theaterstück war sehr unterhaltsam und hatte eine großartige Besetzung.,La pièce de théâtre était très divertissante et avait une distribution exceptionnelle.
Die Stadt New York ist bekannt für ihre beeindruckenden Wolkenkratzer.,La ville de New York est connue pour ses gratte-ciel impressionnants.
"Ich plane, nächstes Jahr nach Paris zu reisen.",Je prévois de voyager à Paris l'année prochaine.
Die Atmosphäre im Hörsaal ist sehr konzentriert und fördert das Lernen.,L'atmosphère dans l'amphithéâtre est très concentrée et favorise l'apprentissage.
Ein Besuch im Theater ist immer wieder ein besonderes Erlebnis.,Une visite au théâtre est toujours une expérience particulière.
"Ich wünsche mir, dass ich mehr Zeit für meine Hobbys hätte.",Je souhaite avoir plus de temps pour mes hobbies.
Durch meine Freundschaften konnte ich viele neue Dinge erleben und kennenlernen.,"Grâce à mes amitiés, j'ai pu vivre et découvrir de nombreuses choses nouvelles."
"Wir haben eine Gruppe von Freunden, die sich jeden Wochenende trifft, um zusammen zu feiern.",Nous avons un groupe d'amis qui se rencontrent chaque week-end pour faire la fête ensemble.
Der Umgang mit Kollegen ist entscheidend für die Produktivität im Büro.,Le rapport avec les collègues est déterminant pour la productivité au bureau.
Wir haben viel Spaß am Strand,"Nous nous amusons beaucoup sur la plage,"
"Das Schwimmen ist ein toller Sport, um fit zu bleiben.",La natation est un excellent sport pour rester en forme.
"Ein Auslandsstudium kann sehr lohnend sein und hilft, internationale Erfahrungen zu sammeln.",Un séjour d'études à l'étranger peut être très gratifiant et aide à accumuler des expériences internationales.
"Meine Schwester liebt es, Bücher über Geschichte zu lesen und mehr über unsere Vergangenheit zu erfahren.",Ma sœur adore lire des livres sur l'histoire et en apprendre davantage sur notre passé.
Meine Freundin studiert Medizin an der Universität.,Ma copine étudie la médecine à l'université.
Mein Freund kommt aus Deutschland,"Mon ami vient d'Allemagne,"
Die Atmosphäre auf dem Campus ist sehr entspannt.,L'atmosphère sur le campus est très détendue.
"Ich habe mich für den Kurs ""Französisch für Anfänger"" angemeldet.","Je me suis inscrit au cours ""français pour débutants""."
"Unser Büroleiter ist sehr fair und gibt uns die Freiheit, unsere Arbeit selbstständig zu gestalten.",Notre chef de bureau est très juste et nous donne la liberté de structurer notre propre travail.
"Durch meine Tätigkeit an der Universität konnte ich Kontakte knüpfen, die mir später halfen, einen Job zu finden.","Grâce à mon activité à l'université, j'ai pu établir des contacts qui m'ont plus tard aidé à trouver un emploi."
Unsere Abteilung im Büro braucht dringend neuen Personal.,Notre département au bureau a besoin urgentement de nouveaux employés.
Mein Kollege ist auch mein enger Freund.,Mon collègue est aussi mon ami proche.
Die Kommunikation zwischen den Abteilungen ist sehr wichtig.,La communication entre les départements est très importante.
Ein Besuch im Theater oder in der Oper kann sehr unterhaltsam sein.,Une visite au théâtre ou à l'opéra peut être très divertissante.
"Manche Dozenten haben uns geholfen, wichtige Kontakte für unsere Zukunft zu knüpfen.",Certains enseignants nous ont aidés à nouer des contacts importants pour notre future carrière.
Die Universität bietet viele Möglichkeiten zur persönlichen Entwicklung.,L'université offre de nombreuses opportunités de développement personnel.
"Wir haben viel Spaß zusammen, wenn wir nicht gerade für Prüfungen lernen.","Nous avons beaucoup de plaisir ensemble, quand nous n'apprenons pas pour les examens."
Mein Bruder wohnt in einer anderen Stadt,"Mon frère habite dans une autre ville,"
Radfahren durch die schöne Landschaft Italiens ist ein wunderbares Abenteuer.,Faire du vélo à travers le beau paysage italien est une aventure merveilleuse.
Unser Team hat einen neuen Projekt erhalten und wir müssen ihn bis nächsten Monat fertigstellen.,Notre équipe a reçu un nouveau projet et nous devons le terminer d'ici le mois prochain.
Der Fußball ist ein sehr beliebter Sport in Deutschland und viele Menschen spielen ihn in ihrer Freizeit.,Le football est un sport très populaire en Allemagne et beaucoup de gens le pratiquent pendant leur temps libre.
Die Ausbildung an der Berufsschule ist sehr praxisorientiert und hilft bei der Suche nach einem Job.,La formation dans l'école professionnelle est très orientée vers la pratique et aide dans la recherche d'un emploi.
Die Atmosphäre an der Universität ist sehr freundlich und einladend.,L'atmosphère à l'université est très accueillante et chaleureuse.
Ein guter Lehrer kann viel über das Leben lehren.,Un bon professeur peut apprendre beaucoup sur la vie.
"Ich liebe es, mit meinen Kommilitonen zu diskutieren und neue Ideen auszutauschen.",J'adore discuter avec mes camarades de classe et échanger des idées nouvelles.
"Wir haben ein großes Teamprojekt im Büro und müssen alle zusammenarbeiten, um es erfolgreich abzuschließen.",Nous avons un grand projet d'équipe au bureau et nous devons tous travailler ensemble pour le terminer avec succès.
Ich studiere an der Universität und habe viele Freunde dort.,J'étudie à l'université et j'ai beaucoup d'amis là-bas.
"Ich liebe es, am Strand spazieren","J'adore me promener sur la plage,"
Die Bildung ist der Schlüssel zum Erfolg in unserem Leben.,L'éducation est la clé du succès dans notre vie.
Das Leben als Student ist nicht immer leicht.,La vie d'étudiant n'est pas toujours facile.
"Die Teilnahme an einem Festival ist eine großartige Möglichkeit, neue Musik zu hören.",La participation à un festival est une excellente occasion d'écouter de nouvelle musique.
Meine Schwester studiert Medizin an der Universität.,Ma sœur étudie la médecine à l'université.
Das Auto ist sehr teuer,"La voiture est très cher,"
"Wir haben einen Verein an der Universität, der sich um die Belange der ausländischen Studenten kümmert.",Nous avons un club à l'université qui s'occupe des préoccupations des étudiants étrangers.
Wir haben letztes Jahr eine Reise nach Paris gemacht,"Nous avons fait un voyage à Paris l'an dernier,"
Meine Schwester möchte Lehrerin werden und unterrichtet bereits an einer Schule.,Ma sœur veut devenir institutrice et enseigne déjà dans une école.
"Unsere Abteilung im Büro ist wie eine große Familie, wir unterstützen uns gegenseitig.","Notre département au bureau est comme une grande famille, nous nous soutenons mutuellement."
Die Straße ist sehr steil und gefährlich,"La rue est très escarpée et dangereuse,"
Meine Freundin ist auch Studentin und studiert Medizin.,Ma petite amie est également étudiante et étudie la médecine.
Ein Museumsbesuch kann sehr lehrreich und interessant sein.,Une visite au musée peut être très instructive et intéressante.
Mein Partner unterstützt mich bei meiner Arbeit und meinen Studien.,Mon partenaire me soutient dans mon travail et mes études.
Meine Schwester wohnt in Berlin,"Ma sœur habite à Berlin,"
Der Campus unserer Universität ist wunderschön und lädt zum Verweilen ein.,Le campus de notre université est magnifique et invite à s'y attarder.
Wir gehen am Wochenende wandern,"Nous allons faire de la randonnée le week-end,"
Wir haben letztes Jahr eine tolle Reise nach Paris gemacht.,Nous avons fait un excellent voyage à Paris l'année dernière.
"Es ist wichtig, eine gesunde Balance zwischen Arbeit und Privatleben zu finden.",Il est important de trouver un équilibre sain entre le travail et la vie privée.
Die Atmosphäre im Büro ist sehr angenehm und motivierend.,L'ambiance du bureau est très agréable et motivateuse.
Das Fernsehen ist ein beliebtes Medium zur Unterhaltung.,La télévision est un moyen de divertissement populaire.
Meine Schwester spielt sehr gut Klavier,"Ma sœur joue très bien du piano,"
"Das Lesen von Büchern über verschiedene Kulturen hilft mir, meine Kenntnisse zu erweitern.",La lecture de livres sur différentes cultures m'aide à élargir mes connaissances.
Meine Freunde aus dem Büro helfen mir oft bei meinen Projekten.,Mes amis du bureau m'aident souvent aux projets.
"Ein Besuch in einem neuen Land kann eine tolle Gelegenheit sein, neue Sprachen zu lernen.",Une visite dans un nouveau pays peut être une excellente occasion d'apprendre de nouvelles langues.
Die Geographie eines Landes kann seine Geschichte und Kultur beeinflussen.,La géographie d'un pays peut influencer son histoire et sa culture.
"Meine Freundin hat mich dazu inspiriert, ein Praktikum im Ausland zu machen.",Ma copine m'a inspiré à faire un stage à l'étranger.
Die Atmosphäre im Büro ist sehr angenehm.,L'ambiance au bureau est très agréable.
"Ich muss mich bemühen, mehr Stunden im Büro zu arbeiten, um meine Ziele zu erreichen.",Je dois m'efforcer de travailler plus d'heures au bureau pour atteindre mes objectifs.
Wir feiern Weihnachten jedes Jahr bei meiner Familie,"Nous célébrons Noël chaque année chez ma famille,"
"Das Radfahren ist ein gesunder und umweltfreundlicher Weg, sich fortzubewegen.",Le cyclisme est un moyen sain et respectueux de l'environnement de se déplacer.
Das Museum für Moderne Kunst in Frankfurt ist sehr sehenswert.,Le musée d'art moderne à Francfort vaut vraiment la peine d'être visité.
Das Internet bietet eine riesige Menge an Informationen und Unterhaltungsmöglichkeiten.,Internet offre une quantité immense d'informations et de possibilités de divertissement.
"Das Internet bietet viele Möglichkeiten, sich über verschiedene Themen zu informieren.",Internet offre de nombreuses possibilités pour s'informer sur divers sujets.
Die Stadt München ist berühmt für ihr Oktoberfest und ihre schönen Parks.,La ville de Munich est célèbre pour son Oktoberfest et ses beaux parcs.
Die Schule beginnt um acht Uhr morgens,L'école commence à huit heures du matin
"Der Park ist ein schöner Ort, um spazieren zu gehen","Le parc est un endroit agréable pour se promener,"
Ich habe gestern mein Fahrrad repariert,"J'ai réparé mon vélo hier,"
Ich habe mein Fahrrad verkauft,J'ai vendu mon vélo
Die Stadt hat viele historische Sehenswürdigkeiten zu bieten.,La ville a beaucoup de sites historiques à offrir.
Mein Freund ist sehr fleißig und wird sicher bald seinen Abschluss machen.,Mon ami est très travailleur et fera certainement bientôt son diplôme.
Ein Abstecher in den Bergen ist ideal für Wanderungen und Skifahren.,Un détour dans les montagnes est idéal pour des randonnées et le ski.
"Skifahren ist ein spannender Wintersport, den viele Menschen lieben.",Le ski est un sport d'hiver passionnant que beaucoup de gens aiment.
Mein bester Freund hat gerade sein Studium abgeschlossen und sucht jetzt nach einem Job.,Mon meilleur ami a juste terminé ses études et cherche maintenant un emploi.
Unser Teamarbeit-Projekt war sehr erfolgreich dank unserer guten Zusammenarbeit.,Notre projet de travail d'équipe a été très réussi grâce à notre bonne collaboration.
"Das Fernsehen bietet eine Vielzahl von Unterhaltungsprogrammen, darunter Filme, Serien und Sportübertragungen.","La télévision offre une variété de programmes de divertissement, notamment des films, des séries et des retransmissions sportives."
"Eine Reise nach Paris, die Stadt der Liebe, ist immer ein besonderes Erlebnis.","Un voyage à Paris, la ville de l'amour, est toujours une expérience spéciale."
Das Office-Team ist sehr gut organisiert und effizient.,L'équipe du bureau est très bien organisée et efficace.
Mein Freund spielt Basketball in einem lokalen Verein und nimmt an Turnieren teil.,Mon ami joue au basket-ball dans un club local et participe à des tournois.
Das Wetter wird morgen besser sein,"Le temps sera meilleur demain,"
Ich werde nächste Woche nach Paris reisen,"Je voyagerai à Paris la semaine prochaine,"
Die Beziehungen zwischen den Studenten an der Universität sind sehr wichtig für das Lernklima.,Les relations entre les étudiants à l'université sont très importantes pour l'ambiance d'apprentissage.
Wir fahren nächstes Jahr nach Paris,"Nous allons à Paris l'an prochain,"
"Radfahren ist ein gesunder Sport, den man jederzeit ausüben kann.",Le cyclisme est un sport sain que l'on peut pratiquer à tout moment.
"Wir haben eine Gruppe von Freunden, die sich auf dem Campus treffen.",Nous avons un groupe d'amis qui se rencontrent sur le campus.
"Radfahren ist nicht nur gesund, sondern auch umweltfreundlich.","Le cyclisme n'est pas seulement sain, mais également respectueux de l'environnement."
Mein bester Freund arbeitet in einem anderen Büro.,Mon meilleur ami travaille dans un autre bureau.
Ich verbringe viel Zeit mit meinen Freunden außerhalb der Uni.,Je passe beaucoup de temps avec mes amis en dehors de l'université.
"Ich bin dankbar für meine Freunde, weil sie mir immer helfen, wenn ich Probleme habe.",Je suis reconnaissant envers mes amis parce qu'ils m'aident toujours quand j'ai des problèmes.
Mein Partner ist auch mein bester Freund und unterstützt mich in allem.,Mon partenaire est aussi mon meilleur ami et me soutient dans tout.
Mein Bruder spielt gerne Fußball,"Mon frère joue au football avec plaisir,"
Ich treffe mich regelmäßig mit meiner besten Freundin.,Je me rencontre régulièrement avec ma meilleure amie.
"Das Fernsehen bietet eine Vielzahl von Sendungen an, wie Nachrichten oder Serien.","La télévision offre une variété d'émissions, comme les actualités ou les séries."
Meine Kollegen im Büro sind auch meine Freunde und wir verbringen viel Zeit miteinander.,Mes collègues du bureau sont aussi mes amis et nous passons beaucoup de temps ensemble.
Der Lehrstuhl für Informatik ist einer der größten an der Universität.,Le département d'informatique est l'un des plus grands de l'université.
Ein Studium im Ausland kann sehr bereichernd sein und neue Perspektiven öffnen.,Étudier à l'étranger peut être très enrichissant et ouvrir de nouvelles perspectives.
"Radfahren ist ein gesunder und umweltfreundlicher Weg, um durch die Stadt zu kommen.",Le cyclisme est un moyen sain et respectueux de l'environnement pour se déplacer en ville.
Die Zusammenarbeit zwischen den Studenten an der Universität ist sehr produktiv.,La collaboration entre les étudiants à l'université est très productive.
Meine Freunde und ich planen oft Ausflüge und Reisen zusammen.,Mes amis et moi planifions Often des excursions et des voyages ensemble.
Mein Partner unterstützt mich bei meiner Arbeit und ich tue dasselbe für ihn.,Mon partenaire me soutient dans mon travail et je fais de même pour lui.
"Die Olympischen Spiele sind ein großes Ereignis, bei dem Athleten aus aller Welt teilnehmen.",Les Jeux olympiques sont un grand événement auquel participent des athlètes du monde entier.
Der Hund läuft schnell im Park,"Le chien court vite dans le parc,"
Ich habe mich bereits auf meinen nächsten Urlaub gefreut und plane ihn sorgfältig.,Je me réjouis déjà de mes prochaines vacances et je les planifie soigneusement.
Ich habe durch meine Arbeit viele neue Kontakte geknüpft.,J'ai établi grâce à mon travail de nombreux nouveaux contacts.
Ich habe letztes Jahr eine Weltreise gemacht und viele interessante Dinge gesehen.,J'ai fait un tour du monde l'an dernier et j'ai vu beaucoup de choses intéressantes.
Die Beziehungen zwischen den Studenten sind sehr wichtig für das soziale Leben.,Les relations entre les étudiants sont très importantes pour la vie sociale.
Mein Vater arbeitet als Ingenieur und verdient viel Geld,"Mon père travaille comme ingénieur et gagne beaucoup d'argent,"
Wir haben jeden Mittwoch ein Treffen mit unserem Team aus dem Büro.,Nous avons chaque mercredi une réunion avec notre équipe du bureau.
Meine Mutter kocht immer sehr leckeres Essen,"Ma mère cuisine toujours des plats très délicieux,"
Der Lehrer erklärt den Schülern das neue Konzept,"L'enseignant explique aux élèves le nouveau concept,"
Der Fußball ist mein Lieblingssport und ich spiele ihn seit meiner Kindheit.,Le football est mon sport préféré et je le joue depuis mon enfance.
Mein Bruder studiert an der Universität von München und liebt es dort.,Mon frère étudie à l'université de Munich et il adore cela.
"Die Atmosphäre am Campus ist immer lebendig, besonders wenn Veranstaltungen stattfinden.","L'atmosphère sur le campus est toujours animée, surtout lorsqu'il y a des événements."
"Meine Professorin ist sehr nett und hilft mir immer, wenn ich Probleme mit dem Studienstoff habe.",Ma professeure est très gentille et m'aide toujours lorsque j'ai des problèmes avec la matière d'étude.
Ein Besuch in einem Museum kann sehr interessant sein.,Une visite à un musée peut être très intéressante.
"Ich werde nächstes Jahr nach Australien reisen, um dort zu surfen.",Je vais voyager en Australie l'année prochaine pour y faire du surf.
Mein Freund kommt aus Spanien,"Mon ami vient d'Espagne,"
"Das Spielen von Videospielen kann eine unterhaltsame Freizeitaktivität sein, wenn man es nicht übertreibt.",Jouer aux jeux vidéo peut être une activité de loisirs amusante si on ne l'excède pas.
Ich gehe jeden Sonntag ins Kino,"Je vais au cinéma tous les dimanches,"
Mein Kollege ist auch mein bester Freund.,Mon collègue est aussi mon meilleur ami.
"Ich teile meine Wohnung mit zwei Freunden, die auch an der Universität studieren.",Je partage mon appartement avec deux amis qui étudient également à l'université.
An der Universität gibt es viele verschiedene Kurse zur Auswahl.,"À l'université, il y a de nombreux cours différents à choisir."
Die Schule organisiert jedes Jahr eine Reise nach London für die Schüler.,L'école organise chaque année un voyage à Londres pour les élèves.
Die Schule spielt eine wichtige Rolle bei der Entwicklung junger Menschen.,L'école joue un rôle important dans le développement des jeunes.
"Ich habe mich entschieden, ein Master-Studium anzufangen, um mein Wissen zu erweitern.",J'ai décidé de commencer des études de master pour élargir mes connaissances.
"Radfahren ist eine großartige Möglichkeit, die Stadt zu erkunden.",Le vélo est un excellent moyen d'explorer la ville.
Unsere Gruppe besteht aus fünf Personen und wir arbeiten alle zusammen im selben Büro.,Notre groupe se compose de cinq personnes et nous travaillons tous ensemble dans le même bureau.
"Meine Kolleginnen und Kollegen im Büro sind sehr nett und helfen mir immer, wenn ich Probleme habe.",Mes collègues du bureau sont très gentils et m'aident toujours quand j'ai des problèmes.
"Wir haben eine Gruppe von Freunden, die sich jeden Tag treffen.",Nous avons un groupe d'amis qui se rencontrent chaque jour.
Die Berge sind hoch und schneebedeckt,Les montagnes sont hautes et couvertes de neige
Ein Konzertbesuch kann sehr aufregend sein.,Assister à un concert peut être très excitant.
"Der Unterricht ist sehr anspruchsvoll, aber lohnenswert.","L'enseignement est très exigeant, mais gratifiant."
Der Park ist ein beliebter Ort für Spaziergänger und Radfahrer und bietet eine schöne Aussicht auf die Umgebung.,Le parc est un endroit populaire pour les promeneurs et les cyclistes et offre une belle vue sur les environs.
Die Weltmeisterschaft im Fußball ist eines der größten Sportereignisse der Welt.,La Coupe du monde de football est l'un des plus grands événements sportifs du monde.
